tick,duration_ns
1,7212584
2,7103194
3,6632778
4,4724114
5,6792605
6,13653201
7,6304776
8,5208997
9,5897820
10,7172257
11,6402198
12,4953761
13,4831695
14,3761923
15,7285678
16,5682858
17,4300334
18,11353908
19,13320279
20,4705746
21,6489200
22,6567745
23,6882352
24,4676338
25,4375003
26,6008702
27,6042735
28,1715847
29,6215673
30,7653436
31,5733381
32,5775969
33,8291955
34,7534091
35,5293720
36,5579256
37,5487718
38,3495859
39,10577636
40,5789508
41,4650083
42,11983317
43,13050808
44,13110421
45,4196210
46,8216043
47,5041672
48,7328027
49,9057221
50,4013277
51,3578927
52,5161261
53,4113235
54,6257690
55,1770612
56,1991999
57,4603741
58,8199794
59,5224407
60,7250596
61,5260166
62,5300628
63,5614322
64,2097129
65,5602157
66,6208533
67,9534669
68,3121211
69,5206129
70,9958222
71,5767234
72,6800857
73,5005584
74,5105737
75,1978308
76,5864282
77,7622038
78,5438041
79,2306502
80,5648632
81,17948715
82,6736451
83,4751205
84,4162452
85,6732679
86,5322690
87,5805800
88,4891719
89,1795553
90,9202942
91,11405696
92,3991627
93,6543043
94,7307609
95,4242921
96,4172364
97,7516829
98,3589063
99,4209303
100,3762469
101,5600483
102,15275227
103,4459047
104,4556450
105,3639903
106,3543470
107,11224748
108,5979041
109,5844045
110,2917200
111,6343256
112,4424793
113,8358323
114,8179871
115,12609557
116,6089529
117,4347560
118,5810012
119,5235194
120,5607628
121,2360283
122,5436643
123,10557224
124,5011484
125,4982868
126,7476133
127,6034044
128,4946621
129,7374816
130,10958648
131,3943704
132,4251225
133,5013215
134,6183433
135,5783865
136,5019117
137,4495853
138,6126905
139,6656666
140,6761204
141,5685916
142,1898214
143,5990664
144,7670470
145,5987016
146,13339001
147,6810670
148,5234067
149,4085923
150,15209914
151,4416668
152,4029827
153,4330693
154,7190005
155,5399785
156,5328264
157,6291293
158,4381597
159,5482385
160,6502399
161,5349174
162,5742371
163,5804877
164,6632233
165,6919186
166,1769180
167,1853848
168,6257296
169,7165151
170,20135943
171,5900935
172,5552698
173,8815010
174,3372410
175,5171653
176,5440005
177,13693232
178,5439846
179,8426199
180,6177560
181,5860436
182,8986976
183,5275504
184,4969110
185,3724041
186,10312692
187,10793664
188,7558087
189,1842382
190,6457201
191,6736121
192,6691817
193,5819453
194,6248011
195,8469748
196,4632769
197,5087846
198,5938067
199,6079032
200,6303485
201,9724549
202,7830157
203,6038493
204,7964357
205,5673530
206,5741481
207,6994262
208,7632800
209,4922374
210,5145660
211,5977003
212,6161138
213,3945853
214,4675829
215,4571548
216,5105945
217,8521284
218,5055803
219,8022730
220,5917705
221,11884274
222,12692138
223,6350875
224,7452855
225,6907049
226,7355587
227,4614004
228,5955487
229,6530048
230,8190779
231,5388504
232,6193318
233,3552172
234,4366503
235,3788228
236,6794226
237,5578012
238,1719773
239,4091663
240,4160505
241,6296988
242,6108204
243,6805946
244,8097436
245,5444244
246,6099681
247,5496280
248,6399568
249,2631631
250,17975370
251,7567468
252,6656528
253,10396026
254,6538575
255,5599782
256,5568306
257,6021045
258,6265799
259,7606149
260,3561638
261,6471390
262,6304682
263,5371819
264,5818225
265,7124497
266,3923455
267,4827588
268,6335442
269,6155413
270,6588846
271,10064240
272,4830663
273,5875727
274,7132683
275,6739499
276,6966201
277,6424345
278,5321268
279,1731021
280,3903678
281,1783438
282,6031198
283,5651283
284,4077245
285,7465349
286,5632528
287,7844035
288,6011425
289,5514821
290,5686882
291,3399406
292,3870131
293,5979486
294,5150855
295,8011477
296,13918749
297,5609056
298,12826920
299,5402153
300,6077991
301,5920987
302,1744307
303,7435683
304,4930637
305,5505862
306,5767657
307,7999665
308,6768792
309,7277995
310,5652033
311,9283516
312,7432449
313,4659683
314,6200673
315,9848056
316,4164965
317,17757693
318,8091357
319,4947268
320,5075668
321,4548449
322,6216380
323,3891401
324,8996390
325,8807441
326,4911254
327,7253759
328,8825235
329,5304181
330,6040052
331,9805676
332,5656569
333,7287924
334,1721772
335,4884296
336,8762878
337,5156652
338,11967248
339,5323944
340,5367345
341,6201119
342,4224877
343,6377769
344,5442447
345,5882952
346,8285959
347,6446604
348,5788700
349,5374086
350,5287590
351,4345707
352,5336921
353,6619793
354,15770957
355,2297772
356,5180286
357,7426102
358,1769913
359,2423954
360,5417120
361,6072853
362,5979355
363,6233656
364,5025564
365,5367520
366,2903568
367,5250904
368,6636952
369,4269966
370,5188374
371,5588356
372,4561727
373,5583856
374,5736267
375,9233314
376,4392197
377,6059572
378,7263520
379,4378458
380,4113987
381,6591499
382,3722443
383,5264139
384,10300039
385,5375178
386,6592871
387,4171846
388,10459559
389,7682318
390,8289758
391,5277665
392,6668415
393,4547270
394,3590749
395,3910677
396,6348716
397,5407136
398,16250812
399,3571977
400,7933301
401,5604478
402,7048454
403,7296044
404,7505549
405,5218525
406,6983032
407,5487037
408,3252324
409,4629660
410,7060598
411,5344597
412,3798192
413,4617467
414,6157313
415,4659382
416,9519480
417,10086969
418,4056539
419,2523104
420,4188388
421,4531987
422,4046122
423,5865804
424,4096639
425,4183098
426,7841856
427,6795640
428,5842946
429,7082263
430,8435971
431,7044293
432,6668180
433,7319443
434,7150179
435,5872013
436,6006423
437,9350834
438,8327562
439,10798520
440,1740419
441,5054401
442,2983698
443,5354502
444,4763644
445,5276001
446,13135597
447,4157752
448,4408992
449,5590752
450,8447076
451,2008787
452,5013149
453,3969336
454,4590236
455,6173590
456,8569099
457,4669166
458,14285032
459,6298560
460,5868712
461,5343848
462,8861088
463,4977219
464,8291429
465,7587153
466,3942293
467,7126945
468,5983455
469,6606365
470,5799786
471,3996561
472,2985657
473,6212478
474,5454986
475,6188570
476,5618947
477,7456296
478,5930730
479,5351983
480,14056943
481,6411850
482,13232269
483,1842324
484,6218276
485,6998631
486,4596034
487,12493251
488,2556183
489,2481300
490,3999118
491,7727904
492,4115488
493,5362196
494,2549958
495,4928829
496,4520661
497,5103840
498,11651003
499,4313141
500,6647809
501,15288371
502,5907415
503,4153035
504,3420205
505,5419946
506,7069743
507,5100198
508,7412702
509,7268536
510,6342230
511,3905132
512,3463669
513,2410180
514,9551059
515,3897912
516,8214552
517,4741713
518,5404468
519,4060206
520,19870868
521,5237104
522,13914488
523,5622005
524,5409629
525,4380537
526,2143977
527,6087205
528,10339997
529,6985333
530,12814531
531,5338453
532,5718869
533,5447566
534,8387844
535,5190501
536,3722236
537,5931369
538,6842521
539,4143797
540,6313962
541,4644464
542,6145241
543,11553696
544,6531369
545,7102636
546,1734671
547,4487779
548,5309281
549,4994698
550,6257203
551,5188488
552,3883815
553,4289488
554,5873437
555,4757953
556,3629731
557,4548211
558,2014187
559,5651469
560,5832385
561,5804251
562,5989931
563,4219249
564,9943971
565,5879279
566,4383917
567,5742175
568,8804650
569,2048227
570,5412931
571,4478893
572,3915978
573,4676796
574,3720168
575,5553620
576,18014814
577,4095609
578,4614871
579,3522176
580,3423124
581,5751445
582,10088329
583,6076546
584,5086824
585,10902733
586,7393131
587,4596775
588,6510321
589,6711815
590,2313919
591,2697411
592,11806106
593,2959897
594,4881346
595,5467226
596,5686038
597,4515130
598,3706502
599,5949121
600,6353671
601,9686697
602,7674815
603,5958223
604,6011834
605,6224623
606,10616491
607,6388303
608,6278808
609,5548264
610,5599188
611,3093500
612,7207122
613,4242322
614,5904263
615,5832043
616,6351484
617,10083168
618,7529807
619,5197460
620,8635722
621,10716464
622,2274806
623,2646737
624,4149334
625,4482218
626,4073439
627,18980007
628,5792680
629,3780975
630,5752608
631,12605616
632,4232953
633,2505275
634,6011472
635,8910218
636,13345383
637,5229695
638,9114115
639,5088244
640,5488593
641,6257325
642,3453063
643,3440538
644,4905080
645,5316593
646,7915111
647,4887627
648,10467853
649,5720657
650,5933165
651,5809172
652,6497286
653,6574049
654,1805392
655,6811152
656,7393218
657,5876040
658,6214894
659,4065344
660,7348819
661,4137878
662,5142519
663,7003811
664,4882137
665,4372147
666,6995660
667,12585156
668,7126854
669,10448774
670,8468596
671,6978054
672,3584099
673,19104187
674,8032445
675,2644523
676,4605671
677,5096163
678,5686649
679,4292567
680,4243518
681,8853781
682,5837421
683,5371568
684,5458030
685,7306873
686,4372124
687,7500326
688,6856615
689,11156016
690,8742729
691,8372202
692,4057662
693,4285863
694,3793713
695,4715826
696,4342796
697,7044605
698,8083210
699,4698151
700,4855617
701,4602875
702,7963379
703,7807936
704,4322504
705,6884185
706,5235472
707,1829601
708,4192350
709,3920578
710,4767486
711,7671766
712,5414849
713,2590315
714,2981688
715,7164507
716,7129254
717,7136951
718,3359325
719,18731717
720,4573131
721,5569041
722,5695557
723,6259766
724,7246576
725,6359910
726,5207925
727,5219009
728,7868153
729,2165766
730,4830037
731,5889288
732,13458925
733,9969886
734,6443783
735,5255038
736,6179288
737,5239791
738,5783685
739,1807907
740,6081687
741,4467280
742,7462410
743,3486636
744,7135738
745,5277540
746,5742310
747,8621891
748,4922357
749,2752442
750,2043751
751,2580647
752,3884375
753,20637385
754,2231151
755,1833869
756,1888214
757,1690311
758,1748138
759,1918960
760,2777639
761,1818259
762,1824224
763,2458472
764,1758125
765,1795125
766,1792975
767,1766557
768,3730727
769,3631880
770,2953892
771,2292361
772,2328346
773,1744797
774,13144691
775,1711876
776,8159803
777,1755092
778,1938264
779,5864760
780,6546565
781,5856770
782,1932964
783,2971775
784,3267553
785,1775030
786,2870538
787,4103991
788,4108492
789,2016963
790,3076857
791,4098357
792,4168671
793,4028203
794,3642772
795,2081372
796,1762725
797,1781781
798,1738771
799,1828357
800,1763315
801,4231030
802,2098519
803,1895676
804,1819824
805,4829413
806,5284273
807,7765487
808,3776947
809,3545592
810,7932365
811,1951549
812,1764736
813,2649668
814,2754182
815,2050471
816,8874488
817,3443634
818,1712312
819,1782843
820,3562137
821,2844296
822,3125535
823,1809173
824,1989833
825,1995354
826,1764515
827,1811190
828,5169514
829,3863574
830,3882571
831,3590268
832,2717771
833,3313277
834,1768444
835,1799143
836,1625489
837,3912913
838,1868104
839,3678993
840,1540568
841,3218487
842,2328105
843,3081434
844,4326915
845,4474931
846,2206882
847,2159453
848,2843201
849,3686967
850,4386075
851,4216908
852,4193159
853,4837507
854,6180068
855,16086920
856,2506627
857,6165962
858,7045043
859,10162548
860,7254890
861,7875477
862,2701938
863,7990450
864,7117608
865,6844815
866,6218737
867,8657095
868,16357004
869,6575737
870,7564270
871,6642789
872,14671693
873,16531433
874,11451469
875,18662626
876,10089632
877,6772213
878,3632702
879,11281482
880,4449229
881,1949803
882,4022747
883,3939076
884,4941077
885,9278858
886,5630291
887,7634359
888,3423804
889,5562061
890,6201985
891,4448765
892,1830729
893,5305870
894,3927146
895,8345359
896,6123959
897,5280428
898,2887441
899,1873082
900,8146418
901,6470597
902,4533615
903,8748595
904,3732886
905,7445376
906,6149699
907,5804950
908,5240618
909,3071452
910,7081667
911,7092954
912,3707255
913,2125998
914,4099974
915,4078629
916,6174446
917,7316873
918,6572887
919,5459367
920,2951451
921,9867651
922,8301652
923,5170167
924,5512513
925,5642345
926,6762527
927,5063561
928,5858581
929,6042471
930,3775297
931,1520429
932,6317036
933,7035334
934,5634387
935,5899462
936,4471421
937,4848324
938,5306306
939,7430808
940,5091706
941,7794817
942,5021811
943,7365888
944,6251110
945,5801358
946,5449744
947,6266833
948,7880820
949,4804839
950,5568913
951,7037759
952,3147387
953,7510200
954,9142749
955,14445910
956,4920114
957,6789404
958,7276806
959,8737732
960,5279002
961,5743363
962,3936261
963,5368641
964,1811661
965,7799184
966,5456458
967,7306423
968,5691751
969,4914259
970,6077172
971,5396199
972,5455384
973,6984620
974,4595253
975,6886072
976,6174450
977,5979093
978,7867493
979,5359845
980,4825974
981,5982607
982,4621893
983,5891263
984,8414176
985,8181385
986,6118972
987,6923786
988,5636633
989,6684998
990,3623904
991,6991456
992,9866423
993,6428426
994,2312895
995,1995444
996,8825218
997,5307011
998,5452168
999,5084318
1000,5171278
1001,5700125
1002,7550257
1003,5096511
1004,20725216
1005,11079971
1006,6555502
1007,5738377
1008,12603049
1009,7696945
1010,5471714
1011,6915504
1012,5405344
1013,6997598
1014,8044987
1015,8443024
1016,3122025
1017,6559451
1018,5277073
1019,4980563
1020,4357745
1021,5786266
1022,5354079
1023,5463382
1024,4977939
1025,5551492
1026,17466001
1027,3021717
1028,6058259
1029,5603222
1030,5229452
1031,3562982
1032,5973516
1033,5243726
1034,4746305
1035,5182924
1036,4405897
1037,1767934
1038,11026240
1039,5789746
1040,3216655
1041,5346202
1042,3054333
1043,5915691
1044,5432312
1045,6501670
1046,6616511
1047,17615038
1048,3895240
1049,5773152
1050,6337476
1051,5559915
1052,4010780
1053,4169069
1054,8240726
1055,5072803
1056,4699434
1057,4683179
1058,6132613
1059,3051508
1060,6512366
1061,6893338
1062,4764739
1063,7690062
1064,5379244
1065,9261250
1066,4832736
1067,4747611
1068,19901610
1069,2379058
1070,5883375
1071,5548334
1072,5346599
1073,5090829
1074,5560177
1075,5031179
1076,6138666
1077,5892146
1078,4836347
1079,5435586
1080,1923668
1081,6040988
1082,10219233
1083,4724702
1084,10144532
1085,5473117
1086,8283980
1087,14752403
1088,4977361
1089,16576012
1090,4095126
1091,7330213
1092,10541058
1093,5603209
1094,2778275
1095,5980992
1096,11154767
1097,5929630
1098,5262032
1099,6843752
1100,5698147
1101,1801526
1102,4105740
1103,7431689
1104,6170620
1105,6566489
1106,5247213
1107,11482077
1108,6206645
1109,4646455
1110,18736578
1111,6011301
1112,3661172
1113,5378779
1114,15348751
1115,4608153
1116,6328931
1117,1923883
1118,13097956
1119,5877037
1120,4887555
1121,5810221
1122,4340348
1123,6183594
1124,6037455
1125,5983805
1126,5590383
1127,5909904
1128,13672376
1129,5912664
1130,5196768
1131,15842738
1132,5484363
1133,2910275
1134,8266731
1135,6059099
1136,5172320
1137,5033518
1138,5520256
1139,5489199
1140,4364101
1141,4783285
1142,4667856
1143,7485843
1144,2175165
1145,6769668
1146,4641279
1147,5795263
1148,7106875
1149,5533724
1150,5904240
1151,8013007
1152,15265386
1153,8101418
1154,4109406
1155,5595239
1156,5644582
1157,6091105
1158,5713980
1159,6990639
1160,5232083
1161,4460901
1162,5775013
1163,5697737
1164,4477975
1165,1429090
1166,4709970
1167,4073670
1168,4970802
1169,7296445
1170,4997176
1171,5834235
1172,5081138
1173,10474288
1174,8576631
1175,7784882
1176,6668699
1177,6122503
1178,5280390
1179,4884812
1180,4893934
1181,6686813
1182,4062982
1183,7297227
1184,4698880
1185,3962486
1186,5353493
1187,7707582
1188,6239027
1189,4938244
1190,9953238
1191,5531762
1192,4851945
1193,6560017
1194,8348067
1195,1607892
1196,7022259
1197,2565172
1198,6044551
1199,6032778
1200,5256879
1201,5830598
1202,6481493
1203,5601335
1204,5642967
1205,18112974
1206,4863782
1207,5906552
1208,2711110
1209,5450564
1210,5526218
1211,7410998
1212,12423911
1213,5039470
1214,7384284
1215,10892982
1216,17866316
1217,5389585
1218,2568757
1219,3891071
1220,5615787
1221,5605372
1222,6425043
1223,5915346
1224,7089461
1225,5272699
1226,5060376
1227,5373813
1228,5439528
1229,1566237
1230,8093697
1231,5528578
1232,5341932
1233,5974359
1234,6286862
1235,6040960
1236,7078920
1237,5629577
1238,14543766
1239,5757102
1240,3730118
1241,5987714
1242,5087080
