tick,duration_ns
1,9415558
2,4177660
3,6678487
4,4503173
5,2160171
6,3203823
7,3758425
8,3316276
9,2341583
10,3560685
11,2032789
12,5703322
13,6040790
14,3107155
15,5536196
16,5720888
17,5340488
18,4385838
19,4531717
20,1276707
21,4101783
22,5412183
23,3611687
24,3899991
25,3185681
26,4432739
27,3657355
28,6565749
29,3217482
30,2570735
31,2011650
32,3314454
33,2879064
34,4658691
35,4196469
36,2726848
37,2989414
38,1668024
39,2137768
40,3980591
41,1550718
42,2173706
43,2215165
44,9529644
45,1961857
46,2413744
47,4616262
48,1159944
49,2114306
50,2885966
51,6001290
52,2206354
53,2937092
54,2892871
55,4609788
56,1226797
57,2106356
58,3959634
59,4388566
60,4202610
61,3206928
62,1326889
63,3066929
64,4454550
65,9104684
66,5804075
67,3170451
68,6813499
69,4513241
70,5809652
71,5693420
72,2333436
73,2594827
74,2467584
75,2593867
76,2930972
77,3674848
78,6417250
79,3988981
80,5528771
81,7087036
82,3725780
83,11098508
84,3087018
85,4416406
86,5666625
87,4414998
88,2603924
89,4058934
90,9931196
91,6281664
92,3395305
93,2360364
94,5120145
95,2175626
96,7394650
97,5250594
98,2484255
99,1903696
100,1978543
101,5584615
102,3695948
103,3942230
104,3209177
105,2285815
106,2112342
107,1974116
108,3701366
109,2687580
110,4723117
111,4778919
112,2312090
113,1935907
114,1956375
115,3487867
116,2008206
117,4988330
118,5238577
119,1104351
120,4599186
121,2428353
122,3645681
123,2929166
124,6154947
125,3387334
126,6715701
127,2064026
128,2723923
129,1892125
130,3792156
131,2806399
132,2632276
133,3107304
134,4240874
135,4378304
136,4844893
137,2344370
138,3105867
139,3456506
140,2519481
141,3090777
142,3262781
143,2758171
144,10966770
145,2794014
146,1813253
147,3453085
148,2139269
149,1887970
150,2391126
151,1971394
152,5415789
153,6432187
154,5757953
155,2718346
156,1597290
157,8896587
158,3511757
159,2304174
160,3839975
161,2566721
162,2719684
163,3465026
164,4899802
165,3783269
166,2058684
167,7329355
168,3224661
169,1939854
170,2368605
171,2277494
172,2199510
173,5624585
174,7338732
175,4363132
176,2347236
177,3806624
178,2015650
179,1979131
180,2481939
181,2630708
182,2042883
183,2358628
184,2783226
185,1855217
186,2244258
187,2384105
188,2703829
189,3409512
190,4047110
191,1185630
192,3405009
193,2499385
194,2238721
195,4248858
196,3608925
197,3755845
198,4404552
199,2179157
200,2092264
201,4903355
202,2001756
203,3343357
204,3619939
205,2235329
206,2041108
207,4439741
208,3799691
209,2839739
210,4304285
211,4676221
212,3072334
213,9383621
214,3959322
215,4157307
216,7362398
217,4097792
218,7727201
219,8105158
220,5191080
221,4719176
222,3784724
223,1288469
224,2775582
225,3555432
226,3565175
227,3918174
228,3449229
229,3423762
230,2397188
231,4724343
232,8684411
233,3562963
234,1287624
235,11871541
236,3800883
237,3923961
238,5426327
239,4263285
240,2208574
241,3201065
242,2237715
243,2882019
244,3692615
245,1943117
246,2734146
247,2637989
248,2841045
249,1735301
250,2594309
251,2453944
252,4516674
253,6692209
254,4121029
255,1604722
256,4579452
257,3950909
