tick,duration_ns
1,4457529
2,5010362
3,3683925
4,2788415
5,2151254
6,2238241
7,8682385
8,5337287
9,3403790
10,3925909
11,3026216
12,3118813
13,4689014
14,4071680
15,4129949
16,2960845
17,3230687
18,3689552
19,3155204
20,2732042
21,2888613
22,5249827
23,2199144
24,2778733
25,2459281
26,2909276
27,10628353
28,4198407
29,3560386
30,3091150
31,3708014
32,3193482
33,5137991
34,7080427
35,5170054
36,3621324
37,4087201
38,2393355
39,6268702
40,3165087
41,4714029
42,2658583
43,2379915
44,2228970
45,2735195
46,2530022
47,8269585
48,2457481
49,2304707
50,2932533
51,3037435
52,6306384
53,2491503
54,2885334
55,2219378
56,5671324
57,3022184
58,5552059
59,5335600
60,4123225
61,4853221
62,3773452
63,3631600
64,12423987
65,10235691
66,3837252
67,5550713
68,3434343
69,4630439
70,2874908
71,2136828
72,3511474
73,5942018
74,4389578
75,3869519
76,3133346
77,6337879
78,2695652
79,4811982
80,5102367
81,11398312
82,3519745
83,3076336
84,3283998
85,2922486
86,10865150
87,2223633
88,2937599
89,2281983
90,2687581
91,2332409
92,3258949
93,2781027
94,5279443
95,2647297
96,2836238
97,2249788
98,9772229
99,3636607
100,1986104
101,2182219
102,4730255
103,5751794
104,3088537
105,2586156
106,2174426
107,2603124
108,2250163
109,3290529
110,2647265
111,2542922
112,3564073
113,7589685
114,4886242
115,3922311
116,3658439
117,3159536
118,3071171
119,3009002
120,8714525
121,2252004
122,2714244
123,10289913
124,3181967
125,2659114
126,4536204
127,5409726
128,5959676
129,2416346
130,4295568
131,7431932
132,2937456
133,2664703
134,3051276
135,2400899
136,2904129
137,3950325
138,5434614
139,2645166
140,2547530
141,2989905
142,2550166
143,6556173
144,2827516
145,4936730
146,4010069
147,2926068
148,2719706
149,3683765
150,2604615
151,2167749
152,6254208
153,3137452
154,6962484
155,4121683
156,3156024
157,4969730
158,3667852
159,3052277
160,4605581
161,3731513
162,4268728
163,3892212
164,4863747
165,4638380
166,3887040
167,3239547
168,3315957
169,3977575
170,2855356
171,5869133
172,2763086
173,4675904
174,4698810
175,3480615
176,4570066
177,6585704
178,2927795
179,4029927
180,2820021
181,2860562
182,2880743
183,2378929
184,2422844
185,2306407
186,3294387
187,8730178
188,5455104
189,2967374
190,2854814
191,2769815
192,3265932
193,2690354
194,5063976
195,5768329
196,3483284
197,3398620
198,3026706
199,2988152
200,2922752
201,3996920
202,3049250
203,2490990
204,5258198
205,5785263
206,3085119
207,10010584
208,3492707
209,2716859
210,5205597
211,2461940
212,2384584
213,3720663
214,3867848
215,2131618
216,3014126
217,4347060
218,12660890
219,6782164
220,2918258
221,3331390
222,3182831
223,3238218
224,2554530
225,2520094
226,2921590
227,2907042
228,5535975
229,2928648
230,4366379
231,9470776
232,3191000
233,7204012
234,2377627
235,1955176
236,2639761
237,2554884
238,2324970
239,2659195
240,5295259
241,2628153
242,2463787
243,2877224
244,2874903
245,3362781
246,3915978
247,3063562
248,2671263
249,6108212
250,3512699
251,2223903
252,2680466
253,9809041
254,3311259
255,3496893
256,4532690
257,2272493
258,7987823
259,16081057
260,6950540
261,2715309
262,2115046
263,2958305
264,2843890
265,3996529
266,6342803
267,10270420
268,4101116
269,7428130
270,4447631
271,2564958
272,2733316
273,2783149
274,2334134
275,3746995
276,2467841
277,2337611
278,5714887
279,5675298
280,4921590
281,2126386
282,2704010
283,2287615
284,2263339
285,3842971
286,3366231
287,4874464
288,5756565
289,6017044
290,2991554
291,6123333
292,2453379
293,2474208
294,3315184
295,5634058
296,2950645
297,4911274
298,2440429
299,2929915
300,2153742
301,4309842
302,4045895
303,5547864
304,2886372
305,3009252
306,2589341
307,3302755
308,3775604
309,3150938
310,3230420
311,4506183
312,3527483
313,7234719
314,5045962
315,2280950
316,2870223
317,2657645
318,3249377
319,3046142
320,3147666
321,2720147
322,4392824
323,3378629
324,7150353
325,2914460
326,3230850
327,4127550
328,3045610
329,3852903
330,2917941
331,9948183
332,2905405
333,5916934
334,3283179
335,5047124
336,3321028
337,4242520
338,3813039
339,3494224
340,4054383
341,4860436
342,6491478
343,5131228
344,2191653
345,7148664
346,5967288
347,5879427
348,6302609
349,2638492
350,2132201
351,2447221
352,2221150
353,3093117
354,7837603
355,4547075
356,2871948
357,2491436
358,2454178
359,3181448
360,5068029
361,2314170
362,2401311
363,5264870
364,3136903
365,2381097
366,2363898
367,2506836
368,2393807
369,2467155
370,2382798
371,2720673
372,2473701
373,4771492
374,2497473
375,2645060
376,2693251
377,5810304
378,2526261
379,2363085
380,3263521
381,2856097
382,4023492
383,2475585
384,3345307
385,3624086
386,2445711
387,7238470
388,6338152
389,6058805
390,6546258
391,3784139
392,2749210
393,3151355
394,2909130
395,4845003
396,6796065
397,2421240
398,2349544
399,2426470
400,3633020
401,8689913
402,2563526
403,4722917
404,2693105
405,2175526
406,2205053
407,3957465
408,4134708
409,5025371
410,4319955
411,4022223
412,2571687
413,2048350
414,3260373
415,5505729
416,2917868
417,2939120
418,2596002
419,5444185
420,4452372
421,2464394
422,3105565
423,3147252
424,4403774
425,4685370
426,2452328
427,4764187
428,2929043
429,4190984
430,2621137
431,6825587
432,3943123
433,10586286
434,5053464
435,4494920
436,5434571
437,4373073
438,3388845
439,2338720
440,3568331
441,2611200
442,2487948
443,3263853
444,2666766
445,2895550
446,4046040
447,3830869
448,3179703
449,2314141
450,2714954
451,4681348
452,2290859
453,2771867
454,6580433
455,3942222
456,2927162
457,4414296
458,12442997
459,6045486
460,4651914
461,4615662
462,2817348
463,11984838
464,4271229
465,2894186
466,3701333
467,3441051
468,4915536
469,4030748
470,2262912
471,3460236
472,2404030
473,3148471
474,3861198
475,4088650
476,2569017
477,2880503
478,4318594
479,4787082
480,7022459
481,3258430
482,2293108
483,5477147
484,2414033
485,3451371
486,4235299
487,6243171
488,4412780
489,4183358
490,3030076
491,11466350
492,2909968
493,4708927
494,2578954
495,5731848
496,2907164
497,3117144
498,2511159
499,6098782
500,5583083
501,6510230
502,3483821
503,3459176
504,6088419
505,5280681
506,7006277
507,6516129
508,5699948
509,2858389
510,3444173
511,2414144
512,2661325
513,3810022
514,2523154
515,2387809
516,4945989
517,5826432
518,2554771
519,4059710
520,2409845
521,2688475
522,3527310
523,2431553
524,3121399
525,3558189
526,2725654
527,6674711
528,3183272
529,2546673
530,2187121
531,2167892
532,2940099
533,4339900
534,4656114
535,6998143
536,2597034
537,2835818
538,2690069
539,3554961
540,3049091
541,6525536
542,2660759
543,3421828
544,3823944
545,3165777
546,2572816
547,3685472
548,4136118
549,3237866
550,3695325
551,2425686
552,2680200
553,2210500
554,2640792
555,2593742
556,6888276
557,4883012
558,2594755
559,12496270
560,3231579
561,4161173
562,2196359
563,2117150
564,4641109
565,3051423
566,2972398
567,2662576
568,2165237
569,2559439
570,2393952
571,2633291
572,3241512
573,3809703
574,2312064
575,2544002
576,3805728
577,3792284
578,2593263
579,6593351
580,4690002
581,3223239
582,3736449
583,2255376
584,2696649
585,4358084
586,4328044
587,3148292
588,3224533
589,3255187
590,2416710
591,4017690
592,2837789
593,2596643
594,2366967
595,3842244
596,4665202
597,6039610
598,4297971
599,7904161
600,3973452
601,5916901
602,3235263
603,2685754
604,6500510
605,5257583
606,4559858
607,3225516
608,3401880
609,2448921
610,2243540
611,2411456
612,4518847
613,2264459
614,4072525
615,5755601
616,3023339
617,4078532
618,2775051
619,5253446
620,3276427
621,4470559
622,2720490
623,4016910
624,5227750
625,3091149
626,3703947
627,3869146
628,3132058
629,3500487
630,2923227
631,2862287
632,3471501
633,5855158
634,2228815
635,4609531
636,3282638
637,3323844
638,5697898
639,4375555
640,3302921
641,3697210
642,5329799
643,3449515
644,4197722
645,6555402
646,3181607
647,2331335
648,4505775
649,2625821
650,5078045
651,8017338
652,6111258
653,6736703
654,5673010
655,3802074
656,3653861
657,5923758
658,6228921
659,2380384
660,2261055
661,4193232
662,5307388
663,4868943
664,3705915
665,10239081
666,2750605
667,4932206
668,3023570
669,3416977
670,2594906
671,2937465
672,6087841
673,3337614
674,4637097
675,3009005
676,6236333
677,6446714
678,7295625
679,5604448
680,5218643
681,2650986
682,2801224
683,6010888
684,2383360
685,4459909
686,4309974
687,3569458
688,3076316
689,2962498
690,4618772
691,18193587
692,3097020
693,3185801
694,4002298
695,2809496
696,3640149
697,3549274
698,3005623
699,2989358
700,2860551
701,4704160
702,2632209
703,5315168
704,2539112
705,4316783
706,2445447
707,6179636
708,2490018
709,2889721
710,2710315
711,6422125
712,4989591
713,4952802
714,2066752
715,2165480
716,2597298
717,2994068
718,6449702
719,3938535
720,2869915
721,4468265
722,2216061
723,4449716
724,2614604
725,2686633
726,3575006
727,2891992
728,2410913
729,3426539
730,2578955
731,4781968
732,3236314
733,4172987
734,2294789
735,2095826
736,4377815
737,4447207
738,5468417
739,8612094
740,3235176
741,9981299
742,2907522
743,6838734
744,3892449
745,3207750
746,4010105
747,3545636
748,2734628
749,2336395
750,3027238
751,4150897
752,2918645
753,13886308
754,2964316
755,2652391
756,2845709
757,2897343
758,4270409
759,5227288
760,3796585
761,3506518
762,2869555
763,3290994
764,4514787
765,4331765
766,5667544
767,4392905
768,2438553
769,2341380
770,4029160
771,2240326
772,2556642
773,2624997
774,3520956
775,4220329
776,3593961
777,2982694
778,2409238
779,2221616
780,3080021
781,3115018
782,3207677
783,2819351
784,3084203
785,2698651
786,6545337
787,3511454
788,3695415
789,4897517
790,2709303
791,2364878
792,3508485
793,2333620
794,2344798
795,9187417
796,6668163
797,4599024
798,2544616
799,2433588
800,2456808
801,3181116
802,2692687
803,5612766
804,2667160
805,2095889
806,2182918
807,2597567
808,4462096
809,6192017
810,5892653
811,4633075
812,3097986
813,2751487
814,5956825
815,4056991
816,3175338
817,2699581
818,2878142
819,2356255
820,2302330
821,2606899
822,2356706
823,3989836
824,5422337
825,5237267
826,2372687
827,6549518
828,7795048
829,2666437
830,5176571
831,2212248
832,2264728
833,3610588
834,2784257
835,3088180
836,2553341
837,3009473
838,3629400
839,3665513
840,2302025
841,3104915
842,5809792
843,5056680
844,7133903
845,2271334
846,2271443
847,3752505
848,7675933
849,4629020
850,4102718
851,2734155
852,6000167
853,4340529
854,2843932
855,3930309
856,2166162
857,6473560
858,3718489
859,4348602
860,4359626
861,3779025
862,2263944
863,2851667
864,4305096
865,4595148
866,3014992
867,4813294
868,2679229
869,4577796
870,2539670
871,2316043
872,3057647
873,4225122
874,5246944
875,3533999
876,4003391
877,5248609
878,3168093
879,10688161
880,2882346
881,6640894
882,4478707
883,3398705
884,3293877
885,3550303
886,5757911
887,6718633
888,2945313
889,4927046
890,5347220
891,2088899
892,2148624
893,2166832
894,2441494
895,3265772
896,3138436
897,3922174
898,6820758
899,4926071
900,5067144
901,5823897
902,3289162
903,2895734
904,2363989
905,12678843
906,3199023
907,4377851
908,4505027
909,5003620
910,6505105
911,4726684
912,4438502
913,2153793
914,2245886
915,3708856
916,5024336
917,2550537
918,7373508
919,2317275
920,10606923
921,7411068
922,8348574
923,4756039
924,4729968
925,4628921
926,3256431
927,3185839
928,5567392
929,4299245
930,2581321
931,7078894
932,2509022
933,2186498
934,5218374
935,3764800
936,3645699
937,2776813
938,10669507
939,4191113
940,4276810
941,4257710
942,3085285
943,2657792
944,2784454
945,2470303
946,4889732
947,2493742
948,3666607
949,2354059
950,3749319
951,7353399
952,2771192
953,5055179
954,2551522
955,3171448
956,2740281
957,7663386
958,3809092
959,2956085
960,4245883
961,2223969
962,2490628
963,5534562
964,3569644
965,2898064
966,2736521
967,2622595
968,2620892
969,2868420
970,6101098
971,3645511
972,3220945
973,3889548
974,2505298
975,5039521
976,2818124
977,4214570
978,3163079
979,5244419
980,3611663
981,6862711
982,2050419
983,3173090
984,5412577
985,3137127
986,2484698
987,12127116
988,4038655
989,3635106
990,5116828
991,2605637
992,2908202
993,3668774
994,3225144
995,7207136
996,3582671
997,2720097
998,5206887
999,2990630
1000,2634012
1001,2107888
1002,2178928
1003,2071240
1004,3922926
1005,3857742
1006,2895950
1007,3105589
1008,4610351
1009,5144082
1010,3268917
1011,6587992
1012,4970736
1013,5735446
1014,2904361
1015,3931358
1016,3073493
1017,5222758
1018,3241789
1019,5210847
1020,2512951
1021,3266401
1022,2850009
1023,5536083
1024,3963032
1025,5095952
1026,3728040
1027,3591958
1028,2539011
1029,4849121
1030,6165520
1031,4469216
1032,3214128
1033,16064621
1034,2448765
1035,4603675
1036,5127309
1037,5314926
1038,5846433
1039,3590005
1040,2700829
1041,2476269
1042,4064213
1043,3310977
1044,4051724
1045,2387618
1046,3806144
1047,5238265
1048,4647447
1049,2572294
1050,2666628
1051,2019252
1052,2270561
1053,3614613
1054,2608211
1055,2453570
1056,2219954
1057,3153400
1058,3477395
1059,6320624
1060,2799570
1061,4138737
1062,2951284
1063,2678684
1064,2840504
1065,5224243
1066,5892927
1067,2715897
1068,4128942
1069,4996348
1070,3160081
1071,2328511
1072,2287004
1073,2297129
1074,3229725
1075,2502221
1076,3319542
1077,2598486
1078,5605693
1079,3080308
1080,2610201
1081,2735110
1082,2386631
1083,5270354
1084,5919765
1085,2871417
1086,2849321
1087,3087931
1088,2559310
1089,5610145
1090,5053012
1091,6859551
1092,2834269
1093,3119283
1094,2483872
1095,3234636
1096,2272597
1097,2335815
1098,4740875
1099,4263665
1100,2527758
1101,2571971
1102,2548867
1103,2097606
1104,4664938
1105,2085883
1106,4221819
1107,4335045
1108,2663277
1109,11083394
1110,5848651
1111,2267184
1112,2319029
1113,2455565
1114,2113018
1115,2019932
1116,2337826
1117,4013061
1118,2064060
1119,2504721
1120,10961329
1121,2481625
1122,3740001
1123,3336294
1124,2666613
1125,3887636
1126,2330587
1127,2471544
1128,2533060
1129,2677045
1130,2113944
1131,2860032
1132,3813743
1133,3059259
1134,3981708
1135,3154445
1136,2705261
1137,5755187
1138,2644105
1139,3956509
1140,5113187
1141,5620530
1142,3560526
1143,4495691
1144,4645481
1145,4300895
1146,4972764
1147,4611757
1148,2737776
1149,20449244
1150,2779457
1151,2293583
1152,2579688
1153,3178109
