tick,duration_ns
1,2903678
2,3002860
3,2775159
4,2758794
5,1584197
6,2847411
7,2751088
8,1679466
9,5491967
10,2693115
11,3337314
12,1937493
13,3096979
14,2578250
15,2702884
16,2689982
17,4102034
18,3575703
19,2811889
20,1614221
21,3238551
22,1482637
23,1788049
24,2742468
25,2215606
26,2800272
27,2147990
28,3180619
29,2230028
30,1628429
31,1507768
32,3046389
33,1843544
34,2176153
35,1622314
36,1581682
37,1559307
38,1656232
39,3061463
40,2218232
41,3001152
42,3211532
43,1802181
44,2946061
45,10090103
46,2058546
47,2857093
48,2907298
49,1422601
50,2822054
51,3140681
52,3216774
53,3735047
54,3280760
55,2921448
56,2106841
57,1533215
58,2952738
59,2776350
60,3349848
61,3262098
62,3055287
63,2918702
64,3231949
65,2918920
66,3057591
67,2934751
68,4311162
69,3995489
70,2265127
71,3099857
72,6120392
73,3215965
74,2924838
75,3010717
76,3294653
77,2944718
78,3587805
79,3034372
80,2124032
81,4254789
82,3526761
83,1935906
84,2904026
85,3142500
86,3086518
87,2897081
88,3012402
89,2944170
90,2831603
91,2967487
92,2962211
93,2699344
94,2763723
95,2949704
96,2883051
97,2925918
98,3157777
99,1878272
100,2487417
101,3401777
102,3595509
103,3115567
104,4092938
105,2977640
106,2843143
107,1388320
108,2719357
109,2585436
110,2885371
111,1475635
112,2715965
113,1601024
114,1442618
115,2693244
116,3756784
117,4815395
118,3196850
119,2668941
120,3208630
121,2718636
122,2752141
123,3264835
124,2830062
125,1489631
126,1487787
127,2907910
128,1618866
129,1745627
130,3984081
131,2605438
132,4375480
133,4115843
134,5139427
135,4019242
136,3624102
137,3741772
138,2241311
139,2532466
140,2659808
141,2525917
142,3222669
143,3110633
144,2773508
145,3032561
146,2750126
147,2342982
148,2442581
149,1345293
150,2472005
151,2007391
152,1830659
153,1859276
154,2514881
155,1971521
156,1962953
157,1965820
158,2736921
159,1722307
160,2444922
161,2586310
162,2633501
163,2009804
164,2065569
165,4999043
166,2134600
167,2437845
168,1948516
169,2847575
170,2784391
171,2977422
172,1919312
173,2410378
174,2594816
175,2593407
176,2441993
177,2491292
178,3856764
179,3980318
180,4163792
181,4015863
182,3761281
183,3917974
184,3824257
185,2398478
186,3434901
187,1955334
188,3031437
189,3740775
190,1397322
191,4371474
192,1496756
193,2758893
194,2302936
195,2621290
196,2432704
197,2983055
198,3358634
199,2685378
200,3616264
201,2969852
202,2846814
203,2616155
204,2429081
205,2844151
206,2995872
207,2997711
208,2718135
209,2312485
210,2590406
211,3967615
212,2462012
213,2854903
214,3563889
215,2926207
216,5773867
217,1664867
218,2247907
219,3802482
220,3600806
221,2826327
222,3318363
223,1964075
224,2376912
225,2966024
226,1945438
227,1464789
228,3005083
229,4970627
230,3240739
231,2986018
232,2340983
233,3197274
234,2988722
235,2379561
236,4341243
237,2310277
238,2687763
239,3287082
240,2774121
241,2753060
242,3092927
243,3143529
244,1474016
245,2958586
246,4565112
247,4163630
248,2526219
249,3324584
250,1730551
251,2397548
252,3441165
253,3329618
254,2581052
255,2261184
256,4077482
257,3434179
258,2918378
259,2783230
260,3755791
261,4273259
262,4260229
263,3009117
264,2452981
265,2873130
266,1536546
267,2726487
268,3976073
269,2623103
270,1730861
271,3087173
272,2782695
273,2409493
274,2124274
275,2157503
276,4573050
277,4649092
278,2695447
279,4090414
280,3782430
281,3035143
282,3016701
283,6100741
284,2683831
285,2583968
286,1473405
287,1656431
288,2728425
289,2347206
290,2216037
291,2859985
292,6064663
293,2944965
294,2585637
295,2729795
296,1948269
297,2260261
298,2849585
299,2851610
300,3969103
301,2799786
302,2689222
303,2890304
304,2378633
305,2570252
306,3794798
307,4036555
308,1673670
309,2186052
310,2620178
311,2607274
312,2940497
313,2430100
314,3137023
315,2868282
316,1450436
317,2816668
318,4613204
319,1621487
320,2513012
321,2608819
322,2808305
323,2564674
324,4613905
325,4221571
326,3835992
327,2694959
328,2836244
329,2658899
330,1654505
331,1600598
332,4743504
333,1849392
334,2505226
335,2716749
336,2375721
337,2162836
338,2532893
339,3827299
340,2694734
341,2520432
342,2703292
343,3205543
344,2343208
345,3025456
346,2393458
347,2567040
348,2833944
349,2336540
350,3972303
351,2664420
352,2749366
353,2423655
354,3098352
355,2339256
356,2743936
357,4428413
358,4168201
359,4399602
360,3162755
361,5079209
362,2351346
363,4203010
364,4798225
365,2968682
366,2645914
367,2684442
368,2959632
369,2912818
370,4147543
371,3433513
372,2080932
373,1468901
374,2489913
375,3296467
376,2526858
377,2326805
378,2610883
379,2487451
380,2389125
381,2771635
382,2497881
383,2383954
384,2506277
385,2385220
386,2299067
387,2026700
388,1906538
389,3934134
390,2318539
391,2596725
392,6056043
393,2574157
394,1279110
395,3897991
396,3931999
397,4244584
398,4436076
399,3040355
400,5359315
401,2295899
402,2406244
403,4098517
404,3883202
405,2520319
406,3523892
407,2276138
408,2859480
409,2863517
410,3045436
411,2551910
412,2358461
413,2485153
414,2257748
415,3532271
416,3346093
417,2593618
418,2824225
419,2219370
420,2776246
421,2521873
422,4243320
423,2617610
424,2267062
425,2791151
426,2865548
427,3061171
428,3753028
429,7120082
430,4623395
431,4109183
432,3814888
433,2479260
434,2367779
435,3512383
436,4013544
437,1868459
438,3976109
439,2748994
440,3862296
441,3244988
442,3476080
443,2815034
444,2654617
445,2375657
446,2404391
447,2540696
448,3022432
449,2837410
450,2384140
451,2280022
452,2356104
453,2707419
454,2365336
455,2489224
456,2634746
457,2178809
458,2658894
459,2826542
460,2317993
461,2950443
462,2745827
463,2585821
464,3188133
465,2382465
466,1996740
467,2517665
468,2493778
469,1404302
470,2230985
471,2207650
472,2432317
473,2630519
474,6035186
475,2321065
476,2234528
477,2253977
478,4051401
479,3180806
480,1880853
481,2430560
482,8721809
483,4165145
484,2660097
485,2686236
486,2385930
487,1701270
488,2547970
489,2098221
490,2097174
491,1998849
492,2225694
493,2008554
494,3378603
495,2054737
496,1980010
497,2664961
498,3546713
499,3771491
500,3693925
501,3693425
502,3763296
503,3799387
504,3249223
505,2740228
506,2805960
507,2182192
508,1934113
509,1950200
510,3826293
511,1710537
512,1304112
513,2010060
514,1786460
515,1860169
516,1930545
